時間,裝置,溫度(°C),酸鹼(pH),溶解(ppm),TDS(EC)(ppm),導電(mS/cm),濁度(NTU),光照(lx),CO2_B(ppm),CO2_C(ppm)
2026-05-04 20:05:52,UNO_01,24.4375,6.290845,878,6270,9.64675,804.1606,2424.167,-2,1830
2026-05-04 20:06:05,UNO_01,24.4375,6.320497,878,6272,9.649311,800.3208,2425.833,-2,1816
2026-05-04 20:06:17,UNO_01,24.4375,6.335322,941,6688,10.29055,1091.858,2424.167,-2,1808
2026-05-04 20:06:29,UNO_01,24.5,6.295206,875,6264,9.638049,818.7192,2420,-2,1803
2026-05-04 20:06:42,UNO_01,24.4375,6.335322,877,6268,9.644191,799.5532,2420.833,-2,1798
2026-05-04 20:06:55,UNO_01,24.4375,6.312648,876,6668,10.25855,1215.717,2405,-2,1788
2026-05-04 20:07:08,UNO_01,24.4375,6.254218,898,6277,9.65699,801.0884,2429.167,-2,1781
2026-05-04 20:07:20,UNO_01,24.4375,6.345788,877,6283,9.667228,784.1606,2416.667,-2,1783
2026-05-04 20:07:33,UNO_01,24.4375,6.333579,877,6353,9.774743,1308.588,2426.667,-2,1792
2026-05-04 20:07:46,UNO_01,24.4375,6.229799,964,6274,9.65315,803.3931,2409.167,-2,1818
2026-05-04 20:07:58,UNO_01,24.4375,6.344916,876,6269,9.645471,808.7603,2424.167,-2,1833
2026-05-04 20:08:11,UNO_01,24.4375,6.319624,876,6276,9.65571,1132.424,2425.833,-2,1829
2026-05-04 20:08:24,UNO_01,24.4375,6.240264,991,6420,9.877137,798.0161,2420.833,-2,1838
2026-05-04 20:08:36,UNO_01,24.4375,6.328345,874,6265,9.639071,803.3931,2414.167,-2,2408
2026-05-04 20:08:50,UNO_01,24.4375,6.294334,875,6277,9.65827,789.5532,2422.5,-2,1986
2026-05-04 20:09:02,UNO_01,24.4375,6.323985,1028,6652,10.23423,811.8267,2400,-2,1827
2026-05-04 20:09:14,UNO_01,24.4375,6.308288,875,6272,9.649311,777.2173,2420.833,-2,1851
2026-05-04 20:09:27,UNO_01,24.4375,6.301311,874,6273,9.651871,784.9302,2417.5,-2,1901
2026-05-04 20:09:40,UNO_01,24.4375,6.314393,938,6688,10.28927,1085.413,2416.667,-2,2502
2026-05-04 20:09:52,UNO_01,24.4375,6.298695,875,6279,9.660831,807.9966,2400,-2,1926
2026-05-04 20:10:05,UNO_01,24.4375,6.306543,875,6277,9.65827,794.1724,2421.667,-2,1786
2026-05-04 20:10:18,UNO_01,24.375,6.290845,877,6653,10.23595,1183.745,2408.333,-2,1752
2026-05-04 20:10:30,UNO_01,24.4375,6.235904,895,6274,9.65315,777.2173,2418.333,-2,1730
2026-05-04 20:10:43,UNO_01,24.375,6.296951,877,6279,9.660599,791.8618,2427.5,-2,1737
2026-05-04 20:10:56,UNO_01,24.4375,6.308288,874,6316,9.718426,1317.334,2408.333,-2,1733
2026-05-04 20:11:08,UNO_01,24.4375,6.207125,961,6277,9.65699,771.8091,2404.167,-2,1731
2026-05-04 20:11:21,UNO_01,24.375,6.304799,881,6312,9.711854,839.3208,2409.167,-2,1725
2026-05-04 20:11:34,UNO_01,24.4375,6.300438,879,6305,9.700507,1121.792,2427.5,-2,1735
2026-05-04 20:11:47,UNO_01,24.375,6.233288,1003,6446,9.918163,822.5415,2430.833,-2,1727
2026-05-04 20:11:59,UNO_01,24.4375,6.296078,873,6276,9.65571,781.0747,2404.167,-2,1719
2026-05-04 20:12:12,UNO_01,24.375,6.308288,875,6281,9.664442,765.6196,2400,-2,1719
2026-05-04 20:12:25,UNO_01,24.4375,6.31352,1015,6650,10.23167,797.2485,2418.333,-2,1715
2026-05-04 20:12:37,UNO_01,24.4375,6.29259,876,6330,9.738906,840.8442,2425,-2,1716
2026-05-04 20:12:50,UNO_01,24.375,6.314393,875,6280,9.661879,790.3228,2400.833,-2,1723
2026-05-04 20:13:02,UNO_01,24.4375,6.283869,930,6711,10.32511,1096.862,2410,-2,1714
2026-05-04 20:13:15,UNO_01,24.4375,6.25073,876,6297,9.687708,778.7603,2401.667,-2,1710
2026-05-04 20:13:28,UNO_01,24.375,6.298695,884,6319,9.722106,800.3208,2422.5,-2,2492
2026-05-04 20:13:41,UNO_01,24.4375,6.323113,879,6656,10.24063,1221.938,2410.833,-2,1907
2026-05-04 20:13:54,UNO_01,24.4375,6.226311,909,6298,9.690268,804.1606,2399.167,-2,1760
2026-05-04 20:14:06,UNO_01,24.375,6.320497,879,6306,9.701603,807.9966,2402.5,-2,1713
2026-05-04 20:14:19,UNO_01,24.4375,6.310904,876,6297,9.688989,1330.08,2413.333,-2,1704
2026-05-04 20:14:31,UNO_01,24.375,6.208869,987,6310,9.708011,795.7095,2400.833,-2,1697
2026-05-04 20:14:44,UNO_01,24.375,6.322241,878,6293,9.682382,827.1235,2421.667,-2,1696
2026-05-04 20:14:57,UNO_01,24.375,6.290845,877,6301,9.695195,984.4946,2391.667,-2,1711
2026-05-04 20:15:09,UNO_01,24.375,6.270788,999,6542,10.06553,791.8618,2398.333,-2,1684
2026-05-04 20:15:22,UNO_01,24.375,6.297822,877,6302,9.696478,769.4888,2396.667,-2,1676
2026-05-04 20:15:35,UNO_01,24.4375,6.327474,875,6290,9.677468,787.2427,2398.333,-2,1672
2026-05-04 20:15:47,UNO_01,24.375,6.280381,988,6665,10.25517,929.7134,2400.833,-2,1673
2026-05-04 20:16:00,UNO_01,24.4375,6.266427,874,6294,9.683867,785.7036,2399.167,-2,1676
2026-05-04 20:16:13,UNO_01,24.375,6.329218,877,6301,9.695195,772.5845,2428.333,-2,1674
2026-05-04 20:16:25,UNO_01,24.375,6.296951,877,6776,10.4256,1153.6,2429.167,-2,1669
2026-05-04 20:16:38,UNO_01,24.4375,6.194916,874,6285,9.669788,777.2173,2421.667,-2,1676
2026-05-04 20:16:51,UNO_01,24.375,6.295206,876,6299,9.691352,779.5337,2420,-2,1664
2026-05-04 20:17:05,UNO_01,24.4375,6.295206,874,6475,9.962891,1246.719,2414.167,-2,1668
2026-05-04 20:17:16,UNO_01,24.375,6.226311,946,6299,9.691352,795.7095,2430,-2,1667
2026-05-04 20:17:29,UNO_01,24.375,6.29259,876,6302,9.696478,768.7173,2429.167,-2,1662
2026-05-04 20:17:41,UNO_01,24.375,6.293462,875,6296,9.686227,1146.555,2406.667,-2,1660
2026-05-04 20:17:54,UNO_01,24.375,6.235904,989,6430,9.893815,795.7095,2425.833,-2,1682
2026-05-04 20:18:07,UNO_01,24.375,6.320497,877,6306,9.701603,796.4771,2419.167,-2,1667
2026-05-04 20:18:19,UNO_01,24.375,6.303927,876,6305,9.700323,788.0161,2400.833,-2,1663
2026-05-04 20:18:32,UNO_01,24.375,6.282125,1017,6667,10.25774,828.6509,2416.667,-2,1664
2026-05-04 20:18:45,UNO_01,24.375,6.303927,876,6298,9.690071,775.6724,2416.667,-2,1690
2026-05-04 20:18:58,UNO_01,24.375,6.28823,875,6299,9.691352,767.1685,2408.333,-2,1702
2026-05-04 20:19:10,UNO_01,24.375,6.291718,912,6742,10.37307,1111.838,2404.167,-2,1669
2026-05-04 20:19:23,UNO_01,24.375,6.202765,876,6301,9.695195,758.647,2426.667,-2,1657
2026-05-04 20:19:35,UNO_01,24.375,6.291718,875,6299,9.691352,764.8462,2421.667,-2,1652
2026-05-04 20:19:48,UNO_01,24.375,6.290845,875,6553,10.08218,1198.375,2410,-2,1649
2026-05-04 20:20:01,UNO_01,24.375,6.214102,934,6301,9.695195,763.2974,2405.833,-2,1658
2026-05-04 20:20:13,UNO_01,24.375,6.269916,875,6301,9.695195,761.7485,2404.167,-2,1642
2026-05-04 20:20:27,UNO_01,24.375,6.274276,875,6308,9.705448,1171.858,2400.833,-2,1645
2026-05-04 20:20:39,UNO_01,24.375,6.203637,986,6391,9.83359,765.6196,2398.333,-2,1639
2026-05-04 20:20:51,UNO_01,24.375,6.29259,870,6281,9.663161,745.4497,2422.5,-2,1637
2026-05-04 20:21:04,UNO_01,24.375,6.283869,870,6280,9.661879,777.2173,2416.667,-2,1634
2026-05-04 20:21:18,UNO_01,24.375,6.282125,1011,6646,10.2257,781.0747,2409.167,-2,1629
2026-05-04 20:21:30,UNO_01,24.375,6.307416,869,6285,9.669568,760.1978,2409.167,-2,1623
2026-05-04 20:21:43,UNO_01,24.375,6.283869,869,6281,9.664442,745.4497,2407.5,-2,1626
2026-05-04 20:21:55,UNO_01,24.375,6.289974,921,6695,10.30002,1045.063,2408.333,-2,1641
2026-05-04 20:22:08,UNO_01,24.4375,6.240264,867,6281,9.663389,801.0884,2422.5,-2,1625
2026-05-04 20:22:20,UNO_01,24.375,6.304799,869,6290,9.677257,760.1978,2411.667,-2,1622
2026-05-04 20:22:33,UNO_01,24.375,6.28823,869,6585,10.13216,1166.249,2412.5,-2,1617
2026-05-04 20:22:45,UNO_01,24.375,6.20102,915,6287,9.673412,753.9927,2412.5,-2,1615
2026-05-04 20:22:58,UNO_01,24.375,6.304799,869,6283,9.667006,747.0024,2428.333,-2,1630
2026-05-04 20:23:11,UNO_01,24.375,6.28823,869,6286,9.672132,1158.526,2405.833,-2,1619
2026-05-04 20:23:24,UNO_01,24.375,6.214974,976,6361,9.787458,754.7681,2405.833,-2,1625
2026-05-04 20:23:36,UNO_01,24.375,6.319624,869,6284,9.668286,734.5474,2415,-2,1605
2026-05-04 20:23:49,UNO_01,24.375,6.317009,868,6284,9.668286,758.647,2422.5,-2,1618
2026-05-04 20:24:01,UNO_01,24.375,6.294334,1009,6645,10.22314,753.2173,2405,-2,1610
2026-05-04 20:24:14,UNO_01,24.375,6.303927,869,6294,9.683664,755.5454,2412.5,-2,1604
2026-05-04 20:24:27,UNO_01,24.375,6.296078,869,6291,9.678536,732.9868,2425,-2,1602
2026-05-04 20:24:40,UNO_01,24.375,6.289102,900,6714,10.3295,1042.891,2425.833,-2,1600
2026-05-04 20:24:52,UNO_01,24.4375,6.229799,867,6281,9.663389,776.4438,2411.667,-2,1601
2026-05-04 20:25:05,UNO_01,24.375,6.317009,869,6290,9.677257,760.1978,2429.167,-2,1603
2026-05-04 20:25:18,UNO_01,24.375,6.312648,868,6532,10.05015,1172.557,2422.5,-2,1608
2026-05-04 20:25:30,UNO_01,24.375,6.21323,920,6291,9.67982,743.8911,2411.667,-2,1607
2026-05-04 20:25:43,UNO_01,24.375,6.289102,870,6286,9.670849,747.7798,2420,-2,1608
2026-05-04 20:25:56,UNO_01,24.375,6.317009,869,6291,9.67982,1109.702,2414.167,-2,1610
2026-05-04 20:26:08,UNO_01,24.375,6.215846,976,6399,9.845121,760.9751,2401.667,-2,1617
2026-05-04 20:26:21,UNO_01,24.375,6.308288,868,6294,9.683664,745.4497,2429.167,-2,1616
2026-05-04 20:26:34,UNO_01,24.375,6.294334,868,6297,9.688789,739.2212,2415.833,-2,1610
2026-05-04 20:26:46,UNO_01,24.375,6.303055,1008,6645,10.22442,767.1685,2426.667,-2,1609
2026-05-04 20:26:59,UNO_01,24.375,6.29259,869,6286,9.670849,738.4438,2411.667,-2,1622
2026-05-04 20:27:12,UNO_01,24.375,6.320497,869,6292,9.6811,755.5454,2421.667,-2,1631
2026-05-04 20:27:25,UNO_01,24.375,6.287357,891,6750,10.38588,1095.432,2422.5,-2,1623
2026-05-04 20:27:37,UNO_01,24.375,6.210613,882,6346,9.763111,788.0161,2431.667,-2,1607
2026-05-04 20:27:50,UNO_01,24.375,6.315264,868,6291,9.67982,736.8853,2408.333,-2,1611
2026-05-04 20:28:03,UNO_01,24.375,6.336195,869,6470,9.954042,1203.932,2405,-2,1629
2026-05-04 20:28:16,UNO_01,24.375,6.190555,945,6296,9.687508,747.7798,2430.833,-2,1640
2026-05-04 20:28:28,UNO_01,24.3125,6.31352,870,6300,9.693721,752.4419,2428.333,-2,1655
2026-05-04 20:28:41,UNO_01,24.375,6.310032,868,6299,9.691352,1015.258,2409.167,-2,1641
2026-05-04 20:28:53,UNO_01,24.3125,6.260323,983,6491,9.987509,750.8872,2427.5,-2,1853
2026-05-04 20:29:06,UNO_01,24.375,6.318753,868,6291,9.67982,735.3267,2411.667,-2,1719
2026-05-04 20:29:18,UNO_01,24.3125,6.295206,870,6303,9.69757,736.8853,2429.167,-2,1629
2026-05-04 20:29:31,UNO_01,24.375,6.30916,970,6665,10.25389,911.7896,2400,-2,1592
2026-05-04 20:29:44,UNO_01,24.375,6.261195,868,6300,9.692634,760.1978,2422.5,-2,1593
2026-05-04 20:29:57,UNO_01,24.375,6.294334,869,6298,9.690071,740.0005,2420,-2,1593
2026-05-04 20:30:09,UNO_01,24.375,6.314393,868,6705,10.31668,1139.497,2414.167,-2,1590
2026-05-04 20:30:22,UNO_01,24.375,6.21759,893,6300,9.692634,775.6724,2399.167,-2,1577
2026-05-04 20:30:35,UNO_01,24.3125,6.304799,870,6306,9.702702,744.6685,2406.667,-2,1573
2026-05-04 20:30:47,UNO_01,24.375,6.296078,868,6295,9.684944,1230.218,2399.167,-2,1572
2026-05-04 20:31:00,UNO_01,24.375,6.219334,974,6315,9.715699,767.9419,2421.667,-2,1625
2026-05-04 20:31:13,UNO_01,24.3125,6.306543,870,6300,9.693721,767.1685,2420,-2,1589
2026-05-04 20:31:25,UNO_01,24.3125,6.324858,871,6306,9.702702,855.2778,2405,-2,1588
2026-05-04 20:31:38,UNO_01,24.375,6.269916,998,6600,10.15394,764.0728,2408.333,-2,1567
2026-05-04 20:31:51,UNO_01,24.3125,6.325729,870,6305,9.70142,743.1138,2424.167,-2,1563
2026-05-04 20:32:04,UNO_01,24.375,6.289102,867,6294,9.683664,740.0005,2420.833,-2,1561
2026-05-04 20:32:17,UNO_01,24.3125,6.293462,935,6688,10.29028,994.7739,2426.667,-2,1558
2026-05-04 20:32:29,UNO_01,24.375,6.254218,867,6301,9.695195,761.7485,2399.167,-2,1560
2026-05-04 20:32:41,UNO_01,24.3125,6.326602,869,6310,9.709116,754.7681,2402.5,-2,1571
2026-05-04 20:32:54,UNO_01,24.375,6.315264,867,6630,10.20135,1150.081,2422.5,-2,1556
2026-05-04 20:33:07,UNO_01,24.375,6.237648,902,6299,9.691352,740.0005,2415,-2,1553
2026-05-04 20:33:32,UNO_01,24.3125,6.28823,870,6310,9.709116,1214.333,2423.333,-2,1554
2026-05-04 20:33:45,UNO_01,24.3125,6.243752,976,6345,9.762999,746.2251,2423.333,-2,1556
2026-05-04 20:33:57,UNO_01,24.3125,6.318753,870,6296,9.687305,739.2212,2412.5,-2,1564
2026-05-04 20:34:10,UNO_01,24.3125,6.310032,874,6310,9.707833,821.7759,2419.167,-2,1579
2026-05-04 20:34:23,UNO_01,24.375,6.359741,998,6607,10.16548,788.7837,2421.667,-2,1584
2026-05-04 20:34:36,UNO_01,24.3125,6.329218,869,6311,9.710399,722.0591,2407.5,-2,1569
2026-05-04 20:34:48,UNO_01,24.3125,6.206253,870,6312,9.711682,777.2173,2413.333,-2,1566
2026-05-04 20:35:01,UNO_01,24.3125,6.090265,935,6692,10.29541,1013.071,2400.833,-2,1567
2026-05-04 20:35:13,UNO_01,24.375,5.970788,867,6296,9.686227,757.8735,2415,-2,1559
2026-05-04 20:35:26,UNO_01,24.3125,5.996951,869,6305,9.70142,747.7798,2401.667,-2,1544
2026-05-04 20:35:39,UNO_01,24.3125,5.95073,869,6649,10.22998,1180.252,2416.667,-2,1544
2026-05-04 20:35:52,UNO_01,24.3125,5.851311,905,6303,9.69757,664.6431,2425,-2,1541
2026-05-04 20:36:04,UNO_01,24.3125,5.959451,869,6305,9.70142,746.2251,2422.5,-2,1541
2026-05-04 20:36:17,UNO_01,24.3125,5.930672,869,6307,9.703985,1212.254,2416.667,-2,1553
2026-05-04 20:36:30,UNO_01,24.3125,5.778056,974,6339,9.752736,753.2173,2410,-2,1538
2026-05-04 20:36:45,UNO_01,24.3125,5.894916,869,6306,9.702702,751.6626,2398.333,-2,1531
2026-05-04 20:36:55,UNO_01,24.3125,5.880091,869,6307,9.703985,795.7095,2400.833,-2,1539
2026-05-04 20:37:08,UNO_01,24.3125,5.841718,1002,6622,10.18893,835.5122,2400.833,-2,1543
2026-05-04 20:37:20,UNO_01,24.3125,5.869626,869,6303,9.69757,744.6685,2420.833,-2,1530
2026-05-04 20:37:33,UNO_01,24.3125,5.853056,869,6305,9.70142,744.6685,2402.5,-2,1524
2026-05-04 20:37:48,UNO_01,24.375,5.857416,951,6741,10.37178,1083.977,2420,-2,1524
2026-05-04 20:37:58,UNO_01,24.375,5.809451,874,6320,9.723387,744.6685,2414.167,-2,1531
2026-05-04 20:38:12,UNO_01,24.3125,5.8548,874,6320,9.724511,748.5552,2396.667,-2,1537
2026-05-04 20:38:24,UNO_01,24.375,5.872242,866,6606,10.1642,1155.713,2399.167,-2,1536
2026-05-04 20:38:37,UNO_01,24.375,5.764974,902,6301,9.695195,746.2251,2405,-2,1543
2026-05-04 20:38:49,UNO_01,24.3125,5.846951,870,6311,9.710399,749.3325,2402.5,-2,1536
2026-05-04 20:39:03,UNO_01,24.375,5.844335,866,6301,9.695195,1216.409,2396.667,-2,2139
2026-05-04 20:39:14,UNO_01,24.375,5.732707,972,6351,9.772081,750.8872,2406.667,-2,1703
2026-05-04 20:39:27,UNO_01,24.3125,5.860905,869,6307,9.703985,754.7681,2395.833,-2,1628
2026-05-04 20:39:40,UNO_01,24.3125,5.847823,869,6310,9.707833,774.8989,2417.5,-2,1567
2026-05-04 20:39:52,UNO_01,24.375,5.827765,1001,6611,10.17188,704.8306,2397.5,-2,1561
